agpID,latin_text
AGP-EDR180043,"Rosa
"
AGP-EDR180116,XXXXXXXXVII
AGP-EDR180107,Citus exeo
AGP-EDR180108,X
AGP-EDR180233,X
AGP-EDR180306,M
AGP-EDR180105,Hermes
AGP-EDR180129,X
AGP-EDR180389,IIIIIIIIIII
AGP-EDR180781,IM
AGP-EDR180307,X
AGP-EDR180702,"X
XC"
AGP-EDR180380,XX
AGP-EDR180692,Successus
AGP-EDR178395,Paridi IIIIIIIIIII
AGP-EDR179372,IIIIIIIIIII
AGP-EDR179710,"Mustelica
autumat, quam
futuis"
AGP-EDR179445,M
AGP-EDR180294,A B L H R P D S S T I II V F C V I
AGP-EDR180297,XI
AGP-EDR180534,Quem non amo
AGP-EDR180615,Modicus
AGP-EDR180695,Suavis
AGP-EDR180072,Thaddeus
AGP-EDR180154,BARBARABARB    B   B
AGP-EDR179409,S
AGP-EDR178886,Manu
AGP-EDR178889,Copo
AGP-EDR178127,I I I
AGP-EDR178804,IIII
AGP-EDR179407,IIII
AGP-EDR179373,IIIIIIIIII
AGP-EDR179418,"VMAMOIC
A"
AGP-EDR179447,NON
AGP-EDR179801,"Auctus
Actius"
AGP-EDR180535,"A B A
A B"
AGP-EDR180605,Eudemus
AGP-EDR180374,RIII suae
AGP-EDR180372,Rusticus
AGP-EDR179812,Vestorius
AGP-EDR180126,X
AGP-EDR180215,"ANI
Romanus
SS"
AGP-EDR180118,X
AGP-EDR179406,Rusticus
AGP-EDR180390,Servi
AGP-EDR179811,Paris
AGP-EDR179789,Omen
AGP-EDR180078,IIIIIII
AGP-EDR178705,XXIIII
AGP-EDR178796,VIIIII
AGP-EDR178798,XIIII
AGP-EDR179453,Nonius
AGP-EDR180618,Columbus malus es
AGP-EDR180977,AA
AGP-EDR180074,Thalamus
AGP-EDR180382,M
AGP-EDR180305,M
AGP-EDR180701,III IME
AGP-EDR180517,IIIIIIIIIIIIIIIII     IIIIIIIIIIIIIIIIIIIIIIIIIIIIII
AGP-EDR180295,X
AGP-EDR180073,"Venimus hoc cupidi
multo magis ire cupimus"
AGP-EDR180767,Si quis SEQVI hic
AGP-EDR180075,ABCDEF
AGP-EDR178299,"XXX
XX
X"
AGP-EDR179769,B A B
AGP-EDR180403,N N
AGP-EDR180149,R
AGP-EDR180155,B
AGP-EDR180070,Vestinianus MO
AGP-EDR180117,L XXXI
AGP-EDR178890,"Vobis
picta"
AGP-EDR179670,"Ursa, Caprylla"
AGP-EDR180961,R
AGP-EDR179443,PEL
AGP-EDR179761,Sotericus
AGP-EDR180144,Valeas
AGP-EDR177961,"X 
X
X"
AGP-EDR178714,"XXXXIIIIIIII
XXIIII XXIIII"
AGP-EDR149335,Sabinus
AGP-EDR128641,Roma
AGP-EDR167405,DVD
AGP-EDR167408,"E
B"
AGP-EDR146121,vadavo
AGP-EDR146089,Helpis
AGP-EDR167680,T  S  I
AGP-EDR168759,"Homini
M C M
"
AGP-EDR167051,"GAVDAN
rogo te"
AGP-EDR168042,"Felicula 
fellas"
AGP-EDR167691,Quibus
AGP-EDR168185,IIIII
AGP-EDR168349,Roma
AGP-EDR167867,"Primigenia 
cum Prima 
hic"
AGP-EDR167723,Satur
AGP-EDR167442,ABCDEF
AGP-EDR149282,Pithia Prima cum Spartitundiolo hac modo
AGP-EDR175877,Gallus
AGP-EDR149109,Ianuaria
AGP-EDR128047,Lucilius
AGP-EDR166093,IIIXCVX
AGP-EDR166096,XXXX
AGP-EDR168647,Nero quis n
AGP-EDR160168,Si pudor quis
AGP-EDR151724,Eros Spleia
AGP-EDR151806,II CIII V
AGP-EDR193614,Visellio
AGP-EDR151814,Decus
AGP-EDR167991,"R  
XX
XX
XXX"
AGP-EDR167692,X
AGP-EDR168037,"Beliatus
IABET"
AGP-EDR166077,LVIIII
AGP-EDR166076,IIIIIIIIIIIIIII
AGP-EDR163597,Rufus
AGP-EDR163897,XXXXXII
AGP-EDR167728,Valentis
AGP-EDR151819,XOL
AGP-EDR149253,Bromius
AGP-EDR167874,VIV CVNLA
AGP-EDR163894,"Quorumc 
Primuis"
AGP-EDR128739,Ascula
AGP-EDR168287,"Hic
III"
AGP-EDR193337,"ABA
SABI
PRI
AIIVNVS
"
AGP-EDR167948,MSITA
AGP-EDR151936,Florus
AGP-EDR128561,IIIIIIIII
AGP-EDR128566,S
AGP-EDR128552,II
AGP-EDR128542,L X I I I I
AGP-EDR128544,"IIIIIIIIIIIIIII 
IIIIIIIIIIIIIII"
AGP-EDR192879,VIIIII
AGP-EDR163603,Venerandus
AGP-EDR163605,Ianuarius
AGP-EDR193817,Cantabunt mihi
AGP-EDR163403,Successa
AGP-EDR163885,EMIMIMVSOMA
AGP-EDR163887,"VIII 
IIIIIIII"
AGP-EDR192880,XXIIX
AGP-EDR163900,"ABCDE 
ABCDEF"
AGP-EDR163888,IIIIII
AGP-EDR127801,Aptus
AGP-EDR148433,pedicare volo
AGP-EDR166066,IIIIIIII
AGP-EDR167629,ABCDEH
AGP-EDR166078,IIIIIIIIIIIII
AGP-EDR166067,XX
AGP-EDR166068,IIIIIIVIIIII
AGP-EDR167645,AB
AGP-EDR163527,Sarnus
AGP-EDR149105,vera Victoria
AGP-EDR128647,XIIII
AGP-EDR128084,ALO
AGP-EDR128648,IIIIII
AGP-EDR128649,IIII
AGP-EDR163883,Quati
AGP-EDR128554,II II II
AGP-EDR166084,V
AGP-EDR166087,"IIIIII
VIII III"
AGP-EDR166089,"VI
"
AGP-EDR128643,VCVI
AGP-EDR166092,XXII
AGP-EDR128056,Primus
AGP-EDR149978,Iarinus
AGP-EDR149291,Scutularius cum Africana hac
AGP-EDR161910,Faustus
AGP-EDR163892,Rufini cubiculum s
AGP-EDR168159,rubenses rub
AGP-EDR167716,G IA
AGP-EDR163893,"Rru
Rru"
AGP-EDR163606,"Rusticus
Rufina"
AGP-EDR163528,"L N F
C"
AGP-EDR127409,Q R
AGP-EDR128550,DCCXCVIII
AGP-EDR128065,Placidus
AGP-EDR168488,ER
AGP-EDR168352,XIII
AGP-EDR142566,Narcissus
AGP-EDR148436,fututa sum hic
AGP-EDR161825,Maximus
AGP-EDR127814,XVI
AGP-EDR127574,Lepidi
AGP-EDR167688,R
AGP-EDR163524,Duobus
AGP-EDR166079,"V
"
AGP-EDR175159,"XNAXIIIDIIII
DII LX"
AGP-EDR175749,Epaphra
AGP-EDR192648,AB
AGP-EDR180466,A B C D II I G     V     T     X
AGP-EDR167913,Pier
AGP-EDR192650,S CD
AGP-EDR166081,IIIII
AGP-EDR151062,Synethus
AGP-EDR148674,Amabiliter
AGP-EDR128565,IIIIIIIIII
AGP-EDR149111,non aug
AGP-EDR193066,Successus hic
AGP-EDR163704,Licintus
AGP-EDR135591,quati
AGP-EDR151946,Sabinus
AGP-EDR128016,L A R
AGP-EDR127194,X
AGP-EDR127412,"D
D
DC
V
V
V
XX
FIIL"
AGP-EDR149209,Phoebus
AGP-EDR173880,AL
AGP-EDR127151,MO
AGP-EDR149057,Trebenius
AGP-EDR127576,Magistri
AGP-EDR127573,Leon
AGP-EDR127969,QVIVE
AGP-EDR163891,"Pelias
Alcestis"
AGP-EDR167729,"I HIICVII
VIILIS"
